,P,Exp P,Log P,Log Exp P
242,0.549006731742813,0.5708502024291497,0.26,0.243
130,0.550706273530056,0.5748987854251012,0.259,0.24
109,0.552841088199854,0.5789473684210527,0.257,0.237
191,0.553729392634121,0.582995951417004,0.257,0.234
17,0.55450794330824,0.5870445344129555,0.256,0.231
33,0.574923955096662,0.5910931174089069,0.24,0.228
26,0.577987671694819,0.5951417004048583,0.238,0.225
192,0.580847946619695,0.5991902834008097,0.236,0.222
58,0.586631189024097,0.6032388663967612,0.232,0.22
34,0.590989009761313,0.6072874493927125,0.228,0.217
63,0.596361989428079,0.611336032388664,0.224,0.214
46,0.596707597701537,0.6153846153846154,0.224,0.211
94,0.607153163169565,0.6194331983805668,0.217,0.208
40,0.607329026966566,0.6234817813765182,0.217,0.205
172,0.612905390987659,0.6275303643724697,0.213,0.202
140,0.6145784576034,0.631578947368421,0.211,0.2
235,0.618517154381444,0.6356275303643725,0.209,0.197
117,0.619625880535392,0.6396761133603239,0.208,0.194
194,0.6239749436125,0.6437246963562753,0.205,0.191
201,0.631994099875155,0.6477732793522267,0.199,0.189
114,0.637002711146215,0.6518218623481782,0.196,0.186
222,0.648654098889168,0.6558704453441295,0.188,0.183
53,0.65016337475671,0.659919028340081,0.187,0.181
157,0.652436134533462,0.6639676113360324,0.185,0.178
156,0.656204020044503,0.6680161943319838,0.183,0.175
174,0.65700192427206,0.6720647773279352,0.182,0.173
8,0.663225398825428,0.6761133603238867,0.178,0.17
181,0.665620857732592,0.680161943319838,0.177,0.167
104,0.667399863482028,0.6842105263157895,0.176,0.165
209,0.668525952248289,0.6882591093117408,0.175,0.162
2,0.672355952119332,0.6923076923076923,0.172,0.16
166,0.672946355883164,0.6963562753036437,0.172,0.157
144,0.675846294815767,0.7004048582995951,0.17,0.155
69,0.676324832163136,0.7044534412955465,0.17,0.152
24,0.690480604670062,0.708502024291498,0.161,0.15
72,0.691314804949639,0.7125506072874493,0.16,0.147
118,0.699337676627377,0.7165991902834008,0.155,0.145
97,0.700922732060942,0.7206477732793523,0.154,0.142
213,0.701056685180559,0.7246963562753036,0.154,0.14
141,0.71102334269691,0.728744939271255,0.148,0.137
221,0.716848975713699,0.7327935222672065,0.145,0.135
230,0.718704752497944,0.7368421052631579,0.143,0.133
9,0.721144932127284,0.7408906882591093,0.142,0.13
159,0.723883466759009,0.7449392712550608,0.14,0.128
179,0.724538624875887,0.7489878542510121,0.14,0.126
66,0.73574365340208,0.7530364372469636,0.133,0.123
207,0.737024942235729,0.757085020242915,0.133,0.121
86,0.737530873428623,0.7611336032388664,0.132,0.119
20,0.741047717076239,0.7651821862348178,0.13,0.116
39,0.745495142581864,0.7692307692307693,0.128,0.114
184,0.750978756760689,0.7732793522267206,0.124,0.112
127,0.756892794880165,0.7773279352226721,0.121,0.109
96,0.759896754042864,0.7813765182186235,0.119,0.107
246,0.760020530308353,0.7854251012145749,0.119,0.105
73,0.76315366284649,0.7894736842105263,0.117,0.103
132,0.767461782468164,0.7935222672064778,0.115,0.1
149,0.767697885522837,0.7975708502024291,0.115,0.098
115,0.770980273614505,0.8016194331983806,0.113,0.096
89,0.786456242744344,0.805668016194332,0.104,0.094
236,0.791698666690741,0.8097165991902834,0.101,0.092
182,0.793139102370644,0.8137651821862348,0.101,0.09
90,0.793746364801673,0.8178137651821862,0.1,0.087
84,0.795906265735567,0.8218623481781376,0.099,0.085
229,0.800687240307152,0.8259109311740891,0.097,0.083
36,0.805178362081515,0.8299595141700404,0.094,0.081
28,0.80950360245351,0.8340080971659919,0.092,0.079
14,0.812673746735681,0.8380566801619433,0.09,0.077
82,0.813040810304428,0.8421052631578947,0.09,0.075
155,0.817140276332649,0.8461538461538461,0.088,0.073
65,0.817473541979167,0.8502024291497976,0.088,0.07
19,0.819649182438308,0.854251012145749,0.086,0.068
211,0.828697326636829,0.8582995951417004,0.082,0.066
232,0.829037221968096,0.8623481781376519,0.081,0.064
71,0.833850807821128,0.8663967611336032,0.079,0.062
169,0.840114213367514,0.8704453441295547,0.076,0.06
150,0.84304493318311,0.8744939271255061,0.074,0.058
243,0.855052537336738,0.8785425101214575,0.068,0.056
80,0.861727493426947,0.8825910931174089,0.065,0.054
164,0.865197795786426,0.8866396761133604,0.063,0.052
214,0.869297843984618,0.8906882591093117,0.061,0.05
160,0.871956664320983,0.8947368421052632,0.06,0.048
22,0.872818940389925,0.8987854251012146,0.059,0.046
223,0.873533448596154,0.902834008097166,0.059,0.044
204,0.883978681025466,0.9068825910931174,0.054,0.042
30,0.885196511358054,0.9109311740890689,0.053,0.041
23,0.892772030676277,0.9149797570850202,0.049,0.039
137,0.894504667961007,0.9190283400809717,0.048,0.037
138,0.895171239905935,0.9230769230769231,0.048,0.035
88,0.895452635028601,0.9271255060728745,0.048,0.033
11,0.895550870965525,0.9311740890688259,0.048,0.031
175,0.900709423889004,0.9352226720647774,0.045,0.029
91,0.904914828828744,0.9392712550607287,0.043,0.027
43,0.907772653746867,0.9433198380566802,0.042,0.025
51,0.909985353774077,0.9473684210526315,0.041,0.023
126,0.911766920495854,0.951417004048583,0.04,0.022
100,0.916421790164459,0.9554655870445344,0.038,0.02
123,0.917129194386074,0.9595141700404858,0.038,0.018
110,0.938550768824977,0.9635627530364372,0.028,0.016
131,0.939679911212215,0.9676113360323887,0.027,0.014
133,0.945851482333162,0.97165991902834,0.024,0.012
18,0.946406499020455,0.9757085020242915,0.024,0.011
45,0.9502496952988,0.979757085020243,0.022,0.009
16,0.96473136162556,0.9838056680161943,0.016,0.007
48,0.969846866963438,0.9878542510121457,0.013,0.005
54,0.991463950142873,0.9919028340080972,0.004,0.004
83,0.995768400569759,0.9959514170040485,0.002,0.002
154,0.996779350899937,1.0,0.001,-0.0
