,P,Exp P,Log P,Log Exp P
71,0.77157356612402,0.7794117647058824,0.113,0.108
18,0.772916892053982,0.7830882352941176,0.112,0.106
195,0.778056910811821,0.7867647058823529,0.109,0.104
205,0.782441357582894,0.7904411764705882,0.107,0.102
81,0.786783846336658,0.7941176470588235,0.104,0.1
204,0.788445933497847,0.7977941176470589,0.103,0.098
269,0.789725260984121,0.8014705882352942,0.103,0.096
213,0.791914203823306,0.8051470588235294,0.101,0.094
41,0.793390348740606,0.8088235294117647,0.101,0.092
86,0.793679041966075,0.8125,0.1,0.09
180,0.794786237270339,0.8161764705882353,0.1,0.088
73,0.804001314586978,0.8198529411764706,0.095,0.086
84,0.811388709986593,0.8235294117647058,0.091,0.084
10,0.816001819875019,0.8272058823529411,0.088,0.082
119,0.821126125285469,0.8308823529411765,0.086,0.08
90,0.821574765389733,0.8345588235294118,0.085,0.079
150,0.822719720300933,0.8382352941176471,0.085,0.077
249,0.824239946219268,0.8419117647058824,0.084,0.075
14,0.827943541768367,0.8455882352941176,0.082,0.073
74,0.828375636042949,0.8492647058823529,0.082,0.071
211,0.84039283720639,0.8529411764705882,0.076,0.069
210,0.84175824550864,0.8566176470588235,0.075,0.067
47,0.853402431356944,0.8602941176470589,0.069,0.065
28,0.855344166891084,0.8639705882352942,0.068,0.064
156,0.857166350630251,0.8676470588235294,0.067,0.062
102,0.859104301807818,0.8713235294117647,0.066,0.06
201,0.866927322899604,0.875,0.062,0.058
168,0.870079571479895,0.8786764705882353,0.06,0.056
54,0.877270662733902,0.8823529411764706,0.057,0.054
1,0.882409484464614,0.8860294117647058,0.054,0.053
233,0.88974530348904,0.8897058823529411,0.051,0.051
111,0.893474853107326,0.8933823529411765,0.049,0.049
31,0.89578076473941,0.8970588235294118,0.048,0.047
217,0.908335897651464,0.9007352941176471,0.042,0.045
219,0.908965721046145,0.9044117647058824,0.041,0.044
44,0.911638258674329,0.9080882352941176,0.04,0.042
104,0.913419231394936,0.9117647058823529,0.039,0.04
66,0.916981857965205,0.9154411764705882,0.038,0.038
75,0.919156247713996,0.9191176470588235,0.037,0.037
92,0.925826693729537,0.9227941176470589,0.033,0.035
146,0.926496353737866,0.9264705882352942,0.033,0.033
118,0.930488570567668,0.9301470588235294,0.031,0.031
78,0.934250810350249,0.9338235294117647,0.03,0.03
140,0.940045866124826,0.9375,0.027,0.028
254,0.943557811723001,0.9411764705882353,0.025,0.026
52,0.947538868754787,0.9448529411764706,0.023,0.025
79,0.947631200988045,0.9485294117647058,0.023,0.023
15,0.95531600818398,0.9522058823529411,0.02,0.021
259,0.959874981598874,0.9558823529411765,0.018,0.02
231,0.960145808079339,0.9595588235294118,0.018,0.018
242,0.960789377218533,0.9632352941176471,0.017,0.016
110,0.962409299816838,0.9669117647058824,0.017,0.015
85,0.966090837311669,0.9705882352941176,0.015,0.013
271,0.968527608594842,0.9742647058823529,0.014,0.011
5,0.972940643005204,0.9779411764705882,0.012,0.01
246,0.978036411232012,0.9816176470588235,0.01,0.008
224,0.980830255163428,0.9852941176470589,0.008,0.006
106,0.980901635573289,0.9889705882352942,0.008,0.005
129,0.986836475305969,0.9926470588235294,0.006,0.003
93,0.992475912239124,0.9963235294117647,0.003,0.002
21,1.0,1.0,-0.0,-0.0
