,P,Exp P,Log P,Log Exp P
82,0.579944532010262,0.46407185628742514,0.237,0.333
326,0.584293561916115,0.46706586826347307,0.233,0.331
83,0.584830598013742,0.47005988023952094,0.233,0.328
84,0.585484610923394,0.47305389221556887,0.232,0.325
75,0.588923833058742,0.47604790419161674,0.23,0.322
146,0.590361768155038,0.47904191616766467,0.229,0.32
209,0.590654705264738,0.4820359281437126,0.229,0.317
117,0.594548090923,0.48502994011976047,0.226,0.314
59,0.59655558786705,0.4880239520958084,0.224,0.312
70,0.59680236788408,0.49101796407185627,0.224,0.309
284,0.59786408745422,0.4940119760479042,0.223,0.306
40,0.60116613173804,0.49700598802395207,0.221,0.304
319,0.605550710938604,0.5,0.218,0.301
13,0.605868287070269,0.5029940119760479,0.218,0.298
221,0.614326181147283,0.5059880239520959,0.212,0.296
189,0.616993541403979,0.5089820359281437,0.21,0.293
323,0.617055524864734,0.5119760479041916,0.21,0.291
41,0.619243969684816,0.5149700598802395,0.208,0.288
121,0.620105850729019,0.5179640718562875,0.208,0.286
170,0.623975510154291,0.5209580838323353,0.205,0.283
229,0.626309338347939,0.5239520958083832,0.203,0.281
239,0.627822038450385,0.5269461077844312,0.202,0.278
100,0.631198404512683,0.5299401197604791,0.2,0.276
72,0.631852150696831,0.5329341317365269,0.199,0.273
212,0.632890248518079,0.5359281437125748,0.199,0.271
30,0.640027861921407,0.5389221556886228,0.194,0.268
226,0.641665887887689,0.5419161676646707,0.193,0.266
179,0.643798011594848,0.5449101796407185,0.191,0.264
327,0.646273265571773,0.5479041916167665,0.19,0.261
26,0.651120152872977,0.5508982035928144,0.186,0.259
298,0.65184911951257,0.5538922155688623,0.186,0.257
176,0.653616851885873,0.5568862275449101,0.185,0.254
163,0.654544784958848,0.5598802395209581,0.184,0.252
191,0.654898159536075,0.562874251497006,0.184,0.25
215,0.657108434620459,0.5658682634730539,0.182,0.247
278,0.657636783926575,0.5688622754491018,0.182,0.245
158,0.666901693411622,0.5718562874251497,0.176,0.243
273,0.668176694369228,0.5748502994011976,0.175,0.24
77,0.668680359696113,0.5778443113772455,0.175,0.238
103,0.674019061751147,0.5808383233532934,0.171,0.236
220,0.676200770935018,0.5838323353293413,0.17,0.234
116,0.676957462087945,0.5868263473053892,0.169,0.231
159,0.677867583814831,0.5898203592814372,0.169,0.229
104,0.679272651509352,0.592814371257485,0.168,0.227
4,0.679367037505308,0.5958083832335329,0.168,0.225
61,0.680907461685698,0.5988023952095808,0.167,0.223
31,0.681473689374432,0.6017964071856288,0.167,0.221
148,0.685257468565045,0.6047904191616766,0.164,0.218
151,0.687686890041589,0.6077844311377245,0.163,0.216
76,0.688088818531387,0.6107784431137725,0.162,0.214
259,0.692281864163155,0.6137724550898204,0.16,0.212
279,0.693692207319436,0.6167664670658682,0.159,0.21
120,0.69441812257508,0.6197604790419161,0.158,0.208
228,0.695129510593622,0.6227544910179641,0.158,0.206
79,0.695136126761765,0.625748502994012,0.158,0.204
32,0.696375477444984,0.6287425149700598,0.157,0.202
223,0.698610204731978,0.6317365269461078,0.156,0.199
317,0.703150139498444,0.6347305389221557,0.153,0.197
258,0.704663778867843,0.6377245508982036,0.152,0.195
328,0.704664134570733,0.6407185628742516,0.152,0.193
177,0.705365174831807,0.6437125748502994,0.152,0.191
29,0.706317762633055,0.6467065868263473,0.151,0.189
169,0.706769409266275,0.6497005988023952,0.151,0.187
235,0.706863222871373,0.6526946107784432,0.151,0.185
42,0.708246454851605,0.655688622754491,0.15,0.183
301,0.712260907880152,0.6586826347305389,0.147,0.181
78,0.72022362223624,0.6616766467065869,0.143,0.179
123,0.721289647933041,0.6646706586826348,0.142,0.177
