,P,Exp P,Log P,Log Exp P
241,0.248435695396797,0.26071428571428573,0.605,0.584
142,0.253071500187838,0.2642857142857143,0.597,0.578
275,0.255855425720238,0.26785714285714285,0.592,0.572
243,0.265968780582601,0.2714285714285714,0.575,0.566
236,0.269211032184299,0.275,0.57,0.561
140,0.269542237203035,0.2785714285714286,0.569,0.555
34,0.271302576917831,0.28214285714285714,0.567,0.55
52,0.273935441576102,0.2857142857142857,0.562,0.544
235,0.273993688635939,0.2892857142857143,0.562,0.539
88,0.275403996789196,0.29285714285714287,0.56,0.533
70,0.277353173003291,0.29642857142857143,0.557,0.528
10,0.284495424041208,0.3,0.546,0.523
193,0.286770046743609,0.30357142857142855,0.542,0.518
262,0.29347960910233,0.30714285714285716,0.532,0.513
266,0.307348952516751,0.3107142857142857,0.512,0.508
244,0.312157711829255,0.3142857142857143,0.506,0.503
255,0.317189260329581,0.31785714285714284,0.499,0.498
5,0.319155328108576,0.32142857142857145,0.496,0.493
105,0.321040890852338,0.325,0.493,0.488
103,0.323243866465602,0.32857142857142857,0.49,0.483
203,0.323983409564777,0.33214285714285713,0.489,0.479
38,0.325408716691263,0.3357142857142857,0.488,0.474
169,0.328345281379742,0.3392857142857143,0.484,0.469
82,0.329806958235379,0.34285714285714286,0.482,0.465
40,0.336818087665839,0.3464285714285714,0.473,0.46
54,0.33755085394074,0.35,0.472,0.456
233,0.338959181594196,0.3535714285714286,0.47,0.452
265,0.340694820995286,0.35714285714285715,0.468,0.447
184,0.353192121627072,0.3607142857142857,0.452,0.443
129,0.354801040815599,0.36428571428571427,0.45,0.439
211,0.371555025661359,0.3678571428571429,0.43,0.434
165,0.373578637235947,0.37142857142857144,0.428,0.43
261,0.375274993253724,0.375,0.426,0.426
114,0.378304324351264,0.37857142857142856,0.422,0.422
197,0.378568577178633,0.3821428571428571,0.422,0.418
149,0.389587628671471,0.38571428571428573,0.409,0.414
221,0.39216125654537,0.3892857142857143,0.407,0.41
95,0.401726451334029,0.39285714285714285,0.396,0.406
256,0.405737315686489,0.3964285714285714,0.392,0.402
185,0.410689888288131,0.4,0.386,0.398
21,0.415769438715122,0.4035714285714286,0.381,0.394
252,0.417725203526801,0.40714285714285714,0.379,0.39
192,0.417847133606686,0.4107142857142857,0.379,0.386
110,0.419464348088871,0.4142857142857143,0.377,0.383
182,0.424213061650602,0.41785714285714287,0.372,0.379
36,0.425995575613608,0.42142857142857143,0.371,0.375
35,0.428427251652484,0.425,0.368,0.372
7,0.438302226008132,0.42857142857142855,0.358,0.368
33,0.441848317336062,0.43214285714285716,0.355,0.364
212,0.445332392768183,0.4357142857142857,0.351,0.361
219,0.446224611379289,0.4392857142857143,0.35,0.357
123,0.448430051935297,0.44285714285714284,0.348,0.354
112,0.448627670892608,0.44642857142857145,0.348,0.35
224,0.458738412524679,0.45,0.338,0.347
63,0.459871683888257,0.45357142857142857,0.337,0.343
45,0.460440757988323,0.45714285714285713,0.337,0.34
189,0.461134763076246,0.4607142857142857,0.336,0.337
44,0.465332378009929,0.4642857142857143,0.332,0.333
121,0.465926650292803,0.46785714285714286,0.332,0.33
75,0.467636386964697,0.4714285714285714,0.33,0.327
230,0.473162937199969,0.475,0.325,0.323
153,0.47513843490496,0.4785714285714286,0.323,0.32
158,0.47561036553425,0.48214285714285715,0.323,0.317
20,0.477095148897581,0.4857142857142857,0.321,0.314
125,0.478704426562436,0.48928571428571427,0.32,0.31
0,0.480117074317398,0.4928571428571429,0.319,0.307
238,0.485959999005971,0.49642857142857144,0.313,0.304
108,0.486403207600804,0.5,0.313,0.301
194,0.489942848355465,0.5035714285714286,0.31,0.298
186,0.490073713993544,0.5071428571428571,0.31,0.295
26,0.496171875529456,0.5107142857142857,0.304,0.292
191,0.496442939395619,0.5142857142857142,0.304,0.289
58,0.496754973741305,0.5178571428571429,0.304,0.286
161,0.498230176341398,0.5214285714285715,0.303,0.283
164,0.501049512433741,0.525,0.3,0.28
200,0.504310934142572,0.5285714285714286,0.297,0.277
43,0.509486426871085,0.5321428571428571,0.293,0.274
