,P,Exp P,Log P,Log Exp P
193,0.4083876,0.15355805243445692,0.389,0.814
234,0.408420471979246,0.15730337078651685,0.389,0.803
228,0.416047020351398,0.16104868913857678,0.381,0.793
88,0.421639964360606,0.1647940074906367,0.375,0.783
174,0.435948217048425,0.16853932584269662,0.361,0.773
20,0.437276932585467,0.17228464419475656,0.359,0.764
62,0.438253527720566,0.1760299625468165,0.358,0.754
212,0.443545309893794,0.1797752808988764,0.353,0.745
266,0.4542106,0.18352059925093633,0.343,0.736
260,0.4572051,0.18726591760299627,0.34,0.728
237,0.460950363203252,0.19101123595505617,0.336,0.719
115,0.461013,0.1947565543071161,0.336,0.711
53,0.495113613059145,0.19850187265917604,0.305,0.702
11,0.4966104,0.20224719101123595,0.304,0.694
160,0.499176400475175,0.20599250936329588,0.302,0.686
12,0.50048409035639,0.20973782771535582,0.301,0.678
259,0.501722240786773,0.21348314606741572,0.3,0.671
96,0.504010911763239,0.21722846441947566,0.298,0.663
261,0.515291509985805,0.2209737827715356,0.288,0.656
36,0.5292833,0.2247191011235955,0.276,0.648
230,0.536472328390108,0.22846441947565543,0.27,0.641
241,0.5440481,0.23220973782771537,0.264,0.634
184,0.5452659,0.23595505617977527,0.263,0.627
202,0.546340973749237,0.2397003745318352,0.263,0.62
141,0.550533116623128,0.24344569288389514,0.259,0.614
71,0.5517552,0.24719101123595505,0.258,0.607
255,0.553736307159054,0.250936329588015,0.257,0.6
140,0.5598029,0.2546816479400749,0.252,0.594
181,0.5608862,0.25842696629213485,0.251,0.588
183,0.5683456,0.26217228464419473,0.245,0.581
90,0.571412241868409,0.26591760299625467,0.243,0.575
257,0.5716308450478,0.2696629213483146,0.243,0.569
109,0.572879425545291,0.27340823970037453,0.242,0.563
101,0.575372325020901,0.27715355805243447,0.24,0.557
246,0.5802552,0.2808988764044944,0.236,0.551
40,0.585488,0.2846441947565543,0.232,0.546
254,0.586479233050181,0.2883895131086142,0.232,0.54
14,0.5900239,0.29213483146067415,0.229,0.534
159,0.596076032348357,0.2958801498127341,0.225,0.529
195,0.5963192,0.299625468164794,0.225,0.523
102,0.597073112870819,0.30337078651685395,0.224,0.518
165,0.6022623,0.30711610486891383,0.22,0.513
86,0.6053549,0.31086142322097376,0.218,0.507
176,0.608653022235256,0.3146067415730337,0.216,0.502
229,0.610090134439337,0.31835205992509363,0.215,0.497
22,0.610701,0.32209737827715357,0.214,0.492
44,0.6117921,0.3258426966292135,0.213,0.487
76,0.615608853691316,0.3295880149812734,0.211,0.482
81,0.617512210094749,0.3333333333333333,0.209,0.477
172,0.6177805,0.33707865168539325,0.209,0.472
194,0.618057731018928,0.3408239700374532,0.209,0.467
182,0.621383004071512,0.3445692883895131,0.207,0.463
83,0.625049916693279,0.34831460674157305,0.204,0.458
248,0.6268067,0.352059925093633,0.203,0.453
16,0.6315805,0.35580524344569286,0.2,0.449
97,0.6341426,0.3595505617977528,0.198,0.444
146,0.634761734326414,0.36329588014981273,0.197,0.44
135,0.635252826619484,0.36704119850187267,0.197,0.435
196,0.641871710474742,0.3707865168539326,0.193,0.431
28,0.643309527163562,0.37453183520599254,0.192,0.427
113,0.64911670805252,0.3782771535580524,0.188,0.422
154,0.6505059,0.38202247191011235,0.187,0.418
251,0.653525,0.3857677902621723,0.185,0.414
169,0.6545356,0.3895131086142322,0.184,0.409
2,0.6566553,0.39325842696629215,0.183,0.405
42,0.6571246,0.3970037453183521,0.182,0.401
84,0.660462242670853,0.40074906367041196,0.18,0.397
100,0.6618428,0.4044943820224719,0.179,0.393
99,0.6635741,0.40823970037453183,0.178,0.389
114,0.664452612275492,0.41198501872659177,0.178,0.385
35,0.6684968,0.4157303370786517,0.175,0.381
119,0.670025415604828,0.41947565543071164,0.174,0.377
8,0.6744233,0.4232209737827715,0.171,0.373
7,0.6789149,0.42696629213483145,0.168,0.37
30,0.6792587,0.4307116104868914,0.168,0.366
60,0.6843971,0.4344569288389513,0.165,0.362
224,0.6860991,0.43820224719101125,0.164,0.358
130,0.6865907,0.4419475655430712,0.163,0.355
209,0.6869144,0.44569288389513106,0.163,0.351
61,0.690659008617525,0.449438202247191,0.161,0.347
167,0.692182026755248,0.45318352059925093,0.16,0.344
